#angle_wide.NMR03.02.dat:2   Hist_00001
                   60.0000       0.0000
                   60.6000       0.0000
                   61.2000       0.0000
                   61.8000       0.0000
                   62.4000       0.0000
                   63.0000       0.0000
                   63.6000       0.0000
                   64.2000       0.0000
                   64.8000       0.0000
                   65.4000       0.0000
                   66.0000       0.0000
                   66.6000       0.0000
                   67.2000       0.0000
                   67.8000       0.0000
                   68.4000       0.0000
                   69.0000       0.0001
                   69.6000       0.0002
                   70.2000       0.0001
                   70.8000       0.0002
                   71.4000       0.0000
                   72.0000       0.0002
                   72.6000       0.0003
                   73.2000       0.0003
                   73.8000       0.0004
                   74.4000       0.0004
                   75.0000       0.0004
                   75.6000       0.0005
                   76.2000       0.0011
                   76.8000       0.0006
                   77.4000       0.0006
                   78.0000       0.0007
                   78.6000       0.0009
                   79.2000       0.0010
                   79.8000       0.0007
                   80.4000       0.0012
                   81.0000       0.0006
                   81.6000       0.0008
                   82.2000       0.0010
                   82.8000       0.0010
                   83.4000       0.0018
                   84.0000       0.0009
                   84.6000       0.0013
                   85.2000       0.0012
                   85.8000       0.0020
                   86.4000       0.0011
                   87.0000       0.0018
                   87.6000       0.0024
                   88.2000       0.0014
                   88.8000       0.0013
                   89.4000       0.0025
                   90.0000       0.0019
                   90.6000       0.0019
                   91.2000       0.0020
                   91.8000       0.0016
                   92.4000       0.0013
                   93.0000       0.0020
                   93.6000       0.0017
                   94.2000       0.0024
                   94.8000       0.0013
                   95.4000       0.0014
                   96.0000       0.0012
                   96.6000       0.0016
                   97.2000       0.0014
                   97.8000       0.0012
                   98.4000       0.0009
                   99.0000       0.0016
                   99.6000       0.0011
                  100.2000       0.0020
                  100.8000       0.0011
                  101.4000       0.0014
                  102.0000       0.0018
                  102.6000       0.0020
                  103.2000       0.0017
                  103.8000       0.0011
                  104.4000       0.0013
                  105.0000       0.0015
                  105.6000       0.0006
                  106.2000       0.0011
                  106.8000       0.0015
                  107.4000       0.0011
                  108.0000       0.0009
                  108.6000       0.0016
                  109.2000       0.0024
                  109.8000       0.0013
                  110.4000       0.0014
                  111.0000       0.0026
                  111.6000       0.0022
                  112.2000       0.0026
                  112.8000       0.0026
                  113.4000       0.0019
                  114.0000       0.0029
                  114.6000       0.0034
                  115.2000       0.0023
                  115.8000       0.0023
                  116.4000       0.0038
                  117.0000       0.0031
                  117.6000       0.0041
                  118.2000       0.0031
                  118.8000       0.0057
                  119.4000       0.0054
                  120.0000       0.0061
                  120.6000       0.0064
                  121.2000       0.0074
                  121.8000       0.0084
                  122.4000       0.0082
                  123.0000       0.0082
                  123.6000       0.0107
                  124.2000       0.0117
                  124.8000       0.0127
                  125.4000       0.0128
                  126.0000       0.0141
                  126.6000       0.0145
                  127.2000       0.0149
                  127.8000       0.0145
                  128.4000       0.0171
                  129.0000       0.0169
                  129.6000       0.0188
                  130.2000       0.0162
                  130.8000       0.0174
                  131.4000       0.0182
                  132.0000       0.0197
                  132.6000       0.0212
                  133.2000       0.0217
                  133.8000       0.0208
                  134.4000       0.0200
                  135.0000       0.0206
                  135.6000       0.0175
                  136.2000       0.0212
                  136.8000       0.0219
                  137.4000       0.0210
                  138.0000       0.0224
                  138.6000       0.0227
                  139.2000       0.0231
                  139.8000       0.0205
                  140.4000       0.0220
                  141.0000       0.0194
                  141.6000       0.0204
                  142.2000       0.0184
                  142.8000       0.0175
                  143.4000       0.0156
                  144.0000       0.0152
                  144.6000       0.0150
                  145.2000       0.0153
                  145.8000       0.0168
                  146.4000       0.0149
                  147.0000       0.0126
                  147.6000       0.0136
                  148.2000       0.0098
                  148.8000       0.0100
                  149.4000       0.0083
                  150.0000       0.0075
                  150.6000       0.0097
                  151.2000       0.0065
                  151.8000       0.0069
                  152.4000       0.0057
                  153.0000       0.0067
                  153.6000       0.0054
                  154.2000       0.0037
                  154.8000       0.0034
                  155.4000       0.0030
                  156.0000       0.0030
                  156.6000       0.0027
                  157.2000       0.0016
                  157.8000       0.0017
                  158.4000       0.0015
                  159.0000       0.0009
                  159.6000       0.0005
                  160.2000       0.0005
                  160.8000       0.0006
                  161.4000       0.0006
                  162.0000       0.0004
                  162.6000       0.0003
                  163.2000       0.0002
                  163.8000       0.0004
                  164.4000       0.0000
                  165.0000       0.0003
                  165.6000       0.0000
                  166.2000       0.0001
                  166.8000       0.0001
                  167.4000       0.0001
                  168.0000       0.0000
                  168.6000       0.0001
                  169.2000       0.0001
                  169.8000       0.0000
                  170.4000       0.0001
                  171.0000       0.0000
                  171.6000       0.0000
                  172.2000       0.0000
                  172.8000       0.0000
                  173.4000       0.0000
                  174.0000       0.0000
                  174.6000       0.0000
                  175.2000       0.0000
                  175.8000       0.0001
                  176.4000       0.0000
                  177.0000       0.0000
                  177.6000       0.0000
                  178.2000       0.0000
                  178.8000       0.0000
                  179.4000       0.0000
