#angle_wide.NMR03.03.dat:2   Hist_00001
                   60.0000       0.0000
                   60.6000       0.0000
                   61.2000       0.0000
                   61.8000       0.0000
                   62.4000       0.0000
                   63.0000       0.0000
                   63.6000       0.0000
                   64.2000       0.0000
                   64.8000       0.0001
                   65.4000       0.0000
                   66.0000       0.0000
                   66.6000       0.0001
                   67.2000       0.0002
                   67.8000       0.0003
                   68.4000       0.0000
                   69.0000       0.0001
                   69.6000       0.0002
                   70.2000       0.0001
                   70.8000       0.0003
                   71.4000       0.0006
                   72.0000       0.0005
                   72.6000       0.0005
                   73.2000       0.0009
                   73.8000       0.0007
                   74.4000       0.0013
                   75.0000       0.0019
                   75.6000       0.0017
                   76.2000       0.0022
                   76.8000       0.0034
                   77.4000       0.0029
                   78.0000       0.0044
                   78.6000       0.0053
                   79.2000       0.0049
                   79.8000       0.0064
                   80.4000       0.0070
                   81.0000       0.0064
                   81.6000       0.0077
                   82.2000       0.0087
                   82.8000       0.0083
                   83.4000       0.0066
                   84.0000       0.0083
                   84.6000       0.0085
                   85.2000       0.0091
                   85.8000       0.0091
                   86.4000       0.0082
                   87.0000       0.0080
                   87.6000       0.0093
                   88.2000       0.0069
                   88.8000       0.0078
                   89.4000       0.0075
                   90.0000       0.0085
                   90.6000       0.0066
                   91.2000       0.0072
                   91.8000       0.0072
                   92.4000       0.0070
                   93.0000       0.0070
                   93.6000       0.0071
                   94.2000       0.0072
                   94.8000       0.0071
                   95.4000       0.0063
                   96.0000       0.0063
                   96.6000       0.0072
                   97.2000       0.0061
                   97.8000       0.0073
                   98.4000       0.0057
                   99.0000       0.0067
                   99.6000       0.0070
                  100.2000       0.0044
                  100.8000       0.0055
                  101.4000       0.0054
                  102.0000       0.0052
                  102.6000       0.0040
                  103.2000       0.0047
                  103.8000       0.0039
                  104.4000       0.0034
                  105.0000       0.0035
                  105.6000       0.0034
                  106.2000       0.0037
                  106.8000       0.0037
                  107.4000       0.0023
                  108.0000       0.0033
                  108.6000       0.0025
                  109.2000       0.0027
                  109.8000       0.0031
                  110.4000       0.0026
                  111.0000       0.0034
                  111.6000       0.0024
                  112.2000       0.0021
                  112.8000       0.0034
                  113.4000       0.0028
                  114.0000       0.0029
                  114.6000       0.0032
                  115.2000       0.0040
                  115.8000       0.0037
                  116.4000       0.0029
                  117.0000       0.0051
                  117.6000       0.0034
                  118.2000       0.0039
                  118.8000       0.0051
                  119.4000       0.0059
                  120.0000       0.0053
                  120.6000       0.0042
                  121.2000       0.0058
                  121.8000       0.0077
                  122.4000       0.0052
                  123.0000       0.0063
                  123.6000       0.0071
                  124.2000       0.0080
                  124.8000       0.0079
                  125.4000       0.0109
                  126.0000       0.0083
                  126.6000       0.0089
                  127.2000       0.0102
                  127.8000       0.0087
                  128.4000       0.0106
                  129.0000       0.0117
                  129.6000       0.0109
                  130.2000       0.0121
                  130.8000       0.0137
                  131.4000       0.0118
                  132.0000       0.0137
                  132.6000       0.0149
                  133.2000       0.0143
                  133.8000       0.0113
                  134.4000       0.0134
                  135.0000       0.0127
                  135.6000       0.0143
                  136.2000       0.0130
                  136.8000       0.0153
                  137.4000       0.0140
                  138.0000       0.0163
                  138.6000       0.0121
                  139.2000       0.0119
                  139.8000       0.0139
                  140.4000       0.0135
                  141.0000       0.0120
                  141.6000       0.0133
                  142.2000       0.0118
                  142.8000       0.0106
                  143.4000       0.0103
                  144.0000       0.0112
                  144.6000       0.0100
                  145.2000       0.0096
                  145.8000       0.0078
                  146.4000       0.0072
                  147.0000       0.0065
                  147.6000       0.0075
                  148.2000       0.0071
                  148.8000       0.0050
                  149.4000       0.0057
                  150.0000       0.0044
                  150.6000       0.0044
                  151.2000       0.0058
                  151.8000       0.0058
                  152.4000       0.0032
                  153.0000       0.0038
                  153.6000       0.0041
                  154.2000       0.0036
                  154.8000       0.0037
                  155.4000       0.0031
                  156.0000       0.0032
                  156.6000       0.0035
                  157.2000       0.0026
                  157.8000       0.0028
                  158.4000       0.0033
                  159.0000       0.0037
                  159.6000       0.0018
                  160.2000       0.0015
                  160.8000       0.0017
                  161.4000       0.0012
                  162.0000       0.0014
                  162.6000       0.0018
                  163.2000       0.0008
                  163.8000       0.0012
                  164.4000       0.0006
                  165.0000       0.0014
                  165.6000       0.0015
                  166.2000       0.0007
                  166.8000       0.0007
                  167.4000       0.0002
                  168.0000       0.0002
                  168.6000       0.0003
                  169.2000       0.0003
                  169.8000       0.0001
                  170.4000       0.0004
                  171.0000       0.0000
                  171.6000       0.0001
                  172.2000       0.0000
                  172.8000       0.0000
                  173.4000       0.0000
                  174.0000       0.0000
                  174.6000       0.0001
                  175.2000       0.0000
                  175.8000       0.0000
                  176.4000       0.0000
                  177.0000       0.0001
                  177.6000       0.0000
                  178.2000       0.0000
                  178.8000       0.0000
                  179.4000       0.0000
