#angle_wide.00.dat:2   Hist_00001
             60.0000       0.0000
             60.6000       0.0000
             61.2000       0.0000
             61.8000       0.0000
             62.4000       0.0000
             63.0000       0.0000
             63.6000       0.0000
             64.2000       0.0000
             64.8000       0.0000
             65.4000       0.0000
             66.0000       0.0000
             66.6000       0.0000
             67.2000       0.0000
             67.8000       0.0000
             68.4000       0.0000
             69.0000       0.0000
             69.6000       0.0000
             70.2000       0.0000
             70.8000       0.0000
             71.4000       0.0000
             72.0000       0.0000
             72.6000       0.0000
             73.2000       0.0000
             73.8000       0.0000
             74.4000       0.0000
             75.0000       0.0000
             75.6000       0.0000
             76.2000       0.0000
             76.8000       0.0000
             77.4000       0.0000
             78.0000       0.0000
             78.6000       0.0000
             79.2000       0.0000
             79.8000       0.0000
             80.4000       0.0000
             81.0000       0.0000
             81.6000       0.0000
             82.2000       0.0000
             82.8000       0.0000
             83.4000       0.0000
             84.0000       0.0000
             84.6000       0.0000
             85.2000       0.0000
             85.8000       0.0000
             86.4000       0.0000
             87.0000       0.0000
             87.6000       0.0000
             88.2000       0.0000
             88.8000       0.0000
             89.4000       0.0000
             90.0000       0.0000
             90.6000       0.0000
             91.2000       0.0000
             91.8000       0.0000
             92.4000       0.0000
             93.0000       0.0000
             93.6000       0.0000
             94.2000       0.0000
             94.8000       0.0000
             95.4000       0.0000
             96.0000       0.0000
             96.6000       0.0000
             97.2000       0.0000
             97.8000       0.0000
             98.4000       0.0000
             99.0000       0.0000
             99.6000       0.0000
            100.2000       0.0000
            100.8000       0.0000
            101.4000       0.0000
            102.0000       0.0000
            102.6000       0.0000
            103.2000       0.0000
            103.8000       0.0000
            104.4000       0.0000
            105.0000       0.0000
            105.6000       0.0000
            106.2000       0.0000
            106.8000       0.0000
            107.4000       0.0000
            108.0000       0.0000
            108.6000       0.0000
            109.2000       0.0000
            109.8000       0.0000
            110.4000       0.0000
            111.0000       0.0000
            111.6000       0.0000
            112.2000       0.0000
            112.8000       0.0000
            113.4000       0.0000
            114.0000       0.0000
            114.6000       0.0000
            115.2000       0.0000
            115.8000       0.0000
            116.4000       0.0000
            117.0000       0.0000
            117.6000       0.0000
            118.2000       0.0000
            118.8000       0.0000
            119.4000       0.0000
            120.0000       0.0000
            120.6000       0.0000
            121.2000       0.0000
            121.8000       0.0000
            122.4000       0.0000
            123.0000       0.0000
            123.6000       0.0000
            124.2000       0.0000
            124.8000       0.0000
            125.4000       0.0000
            126.0000       0.0000
            126.6000       0.0000
            127.2000       0.0000
            127.8000       0.0000
            128.4000       0.0000
            129.0000       0.0000
            129.6000       0.0000
            130.2000       0.0000
            130.8000       0.0001
            131.4000       0.0001
            132.0000       0.0001
            132.6000       0.0002
            133.2000       0.0002
            133.8000       0.0002
            134.4000       0.0002
            135.0000       0.0003
            135.6000       0.0003
            136.2000       0.0004
            136.8000       0.0004
            137.4000       0.0004
            138.0000       0.0005
            138.6000       0.0005
            139.2000       0.0006
            139.8000       0.0008
            140.4000       0.0009
            141.0000       0.0009
            141.6000       0.0010
            142.2000       0.0011
            142.8000       0.0016
            143.4000       0.0016
            144.0000       0.0023
            144.6000       0.0025
            145.2000       0.0025
            145.8000       0.0035
            146.4000       0.0035
            147.0000       0.0037
            147.6000       0.0040
            148.2000       0.0046
            148.8000       0.0052
            149.4000       0.0060
            150.0000       0.0061
            150.6000       0.0076
            151.2000       0.0087
            151.8000       0.0093
            152.4000       0.0100
            153.0000       0.0110
            153.6000       0.0109
            154.2000       0.0122
            154.8000       0.0131
            155.4000       0.0142
            156.0000       0.0154
            156.6000       0.0169
            157.2000       0.0180
            157.8000       0.0185
            158.4000       0.0197
            159.0000       0.0217
            159.6000       0.0226
            160.2000       0.0232
            160.8000       0.0244
            161.4000       0.0265
            162.0000       0.0270
            162.6000       0.0280
            163.2000       0.0289
            163.8000       0.0295
            164.4000       0.0292
            165.0000       0.0303
            165.6000       0.0301
            166.2000       0.0295
            166.8000       0.0290
            167.4000       0.0299
            168.0000       0.0286
            168.6000       0.0286
            169.2000       0.0281
            169.8000       0.0272
            170.4000       0.0264
            171.0000       0.0252
            171.6000       0.0242
            172.2000       0.0233
            172.8000       0.0211
            173.4000       0.0196
            174.0000       0.0179
            174.6000       0.0159
            175.2000       0.0148
            175.8000       0.0123
            176.4000       0.0109
            177.0000       0.0088
            177.6000       0.0067
            178.2000       0.0050
            178.8000       0.0030
            179.4000       0.0011
