#angle_wide.02.dat:2   Hist_00001
             60.0000       0.0000
             60.6000       0.0000
             61.2000       0.0000
             61.8000       0.0000
             62.4000       0.0000
             63.0000       0.0000
             63.6000       0.0000
             64.2000       0.0000
             64.8000       0.0000
             65.4000       0.0000
             66.0000       0.0000
             66.6000       0.0000
             67.2000       0.0001
             67.8000       0.0000
             68.4000       0.0001
             69.0000       0.0002
             69.6000       0.0002
             70.2000       0.0004
             70.8000       0.0005
             71.4000       0.0006
             72.0000       0.0007
             72.6000       0.0007
             73.2000       0.0009
             73.8000       0.0009
             74.4000       0.0010
             75.0000       0.0011
             75.6000       0.0014
             76.2000       0.0016
             76.8000       0.0015
             77.4000       0.0018
             78.0000       0.0022
             78.6000       0.0020
             79.2000       0.0027
             79.8000       0.0026
             80.4000       0.0029
             81.0000       0.0034
             81.6000       0.0029
             82.2000       0.0031
             82.8000       0.0033
             83.4000       0.0035
             84.0000       0.0035
             84.6000       0.0041
             85.2000       0.0042
             85.8000       0.0049
             86.4000       0.0049
             87.0000       0.0047
             87.6000       0.0051
             88.2000       0.0054
             88.8000       0.0062
             89.4000       0.0060
             90.0000       0.0070
             90.6000       0.0070
             91.2000       0.0084
             91.8000       0.0092
             92.4000       0.0103
             93.0000       0.0101
             93.6000       0.0097
             94.2000       0.0097
             94.8000       0.0101
             95.4000       0.0097
             96.0000       0.0093
             96.6000       0.0100
             97.2000       0.0101
             97.8000       0.0098
             98.4000       0.0101
             99.0000       0.0103
             99.6000       0.0099
            100.2000       0.0106
            100.8000       0.0108
            101.4000       0.0103
            102.0000       0.0108
            102.6000       0.0106
            103.2000       0.0108
            103.8000       0.0102
            104.4000       0.0111
            105.0000       0.0111
            105.6000       0.0113
            106.2000       0.0115
            106.8000       0.0118
            107.4000       0.0125
            108.0000       0.0121
            108.6000       0.0126
            109.2000       0.0132
            109.8000       0.0138
            110.4000       0.0147
            111.0000       0.0144
            111.6000       0.0141
            112.2000       0.0145
            112.8000       0.0142
            113.4000       0.0143
            114.0000       0.0140
            114.6000       0.0145
            115.2000       0.0146
            115.8000       0.0149
            116.4000       0.0150
            117.0000       0.0163
            117.6000       0.0154
            118.2000       0.0158
            118.8000       0.0157
            119.4000       0.0148
            120.0000       0.0153
            120.6000       0.0157
            121.2000       0.0156
            121.8000       0.0151
            122.4000       0.0156
            123.0000       0.0153
            123.6000       0.0150
            124.2000       0.0148
            124.8000       0.0138
            125.4000       0.0133
            126.0000       0.0130
            126.6000       0.0118
            127.2000       0.0113
            127.8000       0.0110
            128.4000       0.0104
            129.0000       0.0094
            129.6000       0.0090
            130.2000       0.0080
            130.8000       0.0073
            131.4000       0.0066
            132.0000       0.0060
            132.6000       0.0060
            133.2000       0.0052
            133.8000       0.0043
            134.4000       0.0039
            135.0000       0.0038
            135.6000       0.0038
            136.2000       0.0033
            136.8000       0.0030
            137.4000       0.0029
            138.0000       0.0025
            138.6000       0.0024
            139.2000       0.0024
            139.8000       0.0021
            140.4000       0.0018
            141.0000       0.0017
            141.6000       0.0018
            142.2000       0.0016
            142.8000       0.0015
            143.4000       0.0011
            144.0000       0.0008
            144.6000       0.0008
            145.2000       0.0008
            145.8000       0.0007
            146.4000       0.0006
            147.0000       0.0004
            147.6000       0.0004
            148.2000       0.0003
            148.8000       0.0004
            149.4000       0.0003
            150.0000       0.0002
            150.6000       0.0002
            151.2000       0.0001
            151.8000       0.0001
            152.4000       0.0002
            153.0000       0.0001
            153.6000       0.0001
            154.2000       0.0002
            154.8000       0.0002
            155.4000       0.0002
            156.0000       0.0001
            156.6000       0.0001
            157.2000       0.0001
            157.8000       0.0002
            158.4000       0.0001
            159.0000       0.0002
            159.6000       0.0000
            160.2000       0.0000
            160.8000       0.0001
            161.4000       0.0000
            162.0000       0.0001
            162.6000       0.0000
            163.2000       0.0000
            163.8000       0.0000
            164.4000       0.0000
            165.0000       0.0000
            165.6000       0.0000
            166.2000       0.0000
            166.8000       0.0000
            167.4000       0.0000
            168.0000       0.0000
            168.6000       0.0000
            169.2000       0.0000
            169.8000       0.0000
            170.4000       0.0000
            171.0000       0.0000
            171.6000       0.0000
            172.2000       0.0000
            172.8000       0.0000
            173.4000       0.0000
            174.0000       0.0000
            174.6000       0.0000
            175.2000       0.0000
            175.8000       0.0000
            176.4000       0.0000
            177.0000       0.0000
            177.6000       0.0000
            178.2000       0.0000
            178.8000       0.0000
            179.4000       0.0000
